model,accuracy,roc_auc
RandomForest,0.192,0.488653633600442
XGBoost,0.1545,0.503414655675294
IsolationForest,0.154,0.5
Autoencoder,0.818,0.5126646403242148
LSTM,0.846,0.5163968714500629
Transformer,0.846,0.5260124036719782
